key,en,fr,selector,type,attr
profile.contact.email.required,Email address is required,L’adresse courriel est obligatoire,#MainCopy_ctl10_pnlEditContactInfo #MainCopy_ctl10_RequiredFieldValidatorEmailAddress,text,
profile.contact.email.invalid,Enter a valid email address,Entrez une adresse courriel valide,#MainCopy_ctl10_pnlEditContactInfo #MainCopy_ctl10_RegularExpressionValidatorEmailAddress,text,
profile.contact.company.label,Company Name,Nom de l’entreprise,#MainCopy_ctl10_pnlEditContactInfo #MainCopy_ctl10_lblCompanyName,text,
profile.contact.jobTitle.label,Job Title,Titre du poste,#MainCopy_ctl10_pnlEditContactInfo #MainCopy_ctl10_lblTitle,text,
profile.contact.department.label,Department,Département,#MainCopy_ctl10_pnlEditContactInfo #MainCopy_ctl10_DepartmentLabel,text,
profile.contact.address1.label,Address 1,Adresse 1,#MainCopy_ctl10_pnlEditContactInfo #MainCopy_ctl10_lblAddress1,text,
profile.contact.address2.label,Address 2,Adresse 2,#MainCopy_ctl10_pnlEditContactInfo #MainCopy_ctl10_lblAddress2,text,
profile.contact.city.label,City,Ville,#MainCopy_ctl10_pnlEditContactInfo #MainCopy_ctl10_lblCity,text,
profile.contact.country.label,Country,Pays,#MainCopy_ctl10_pnlEditContactInfo #lblCountry,text,
profile.contact.state.label,State/Province,Province/Territoire,#MainCopy_ctl10_pnlEditContactInfo #lblState,text,
profile.contact.postal.label,Postal Code,Code postal,#MainCopy_ctl10_pnlEditContactInfo #MainCopy_ctl10_lblPostalCode,text,
profile.contact.website.label,Website URL,Adresse du site Web,#MainCopy_ctl10_pnlEditContactInfo #MainCopy_ctl10_WebsiteUrlLabel,text,
profile.contact.save,Save,Enregistrer,#MainCopy_ctl10_pnlEditContactInfo #MainCopy_ctl10_btnSave,attr,value
profile.contact.cancel,Cancel,Annuler,#MainCopy_ctl10_pnlEditContactInfo #MainCopy_ctl10_lnkCancel,attr,value
profile.education.editTitle,Edit Existing Education,Modifier une formation existante,#ctl00_MainCopy_ctl32_EditItemDetails_ctl00_pnlEditEducationModal .modal-header,text,
profile.education.addTitle,Add New Education,Ajouter une nouvelle formation,#MainCopy_ctl32_AddItemPanel .modal-header,text,
profile.education.city.label,City,Ville,#ctl00_MainCopy_ctl32_EditItemDetails_ctl00_ucEducationEditorEdit_lblCity,text,
profile.education.country.label,Country,Pays, #lblCountry,text,
profile.education.state.label,State/Province,Province/Territoire, #lblState,text,
profile.education.school.label,School,Établissement,#MainCopy_ctl32_ucEducationEditorAdd_lblSchool,text,
profile.education.school.required,Please enter school name.,Veuillez entrer le nom de l’établissement.,#MainCopy_ctl32_ucEducationEditorAdd_RequiredFieldValidator1,text,
profile.education.degree.label,Degree,Diplôme,#MainCopy_ctl32_ucEducationEditorAdd_lblDegree,text,
profile.education.degreeYear.label,Degree Year,Année d’obtention,#MainCopy_ctl32_ucEducationEditorAdd_lblDegreeYear,text,
profile.education.degreeYear.invalid,Please enter a valid year,Veuillez entrer une année valide,#MainCopy_ctl32_ucEducationEditorAdd_RangeValidator1,text,
profile.education.field.label,Field(s) of Study,Domaine(s) d’études,#MainCopy_ctl32_ucEducationEditorAdd_lblFStudy,text,
profile.education.dates.label,Dates Attended,Période d’études,#MainCopy_ctl32_ucEducationEditorAdd_lblDates,text,
profile.education.dates.from,From,De,label[for="MainCopy_ctl32_ucEducationEditorAdd_ucYearListFromTo_ddlFrom"],text,
profile.education.dates.to,To,À,label[for="MainCopy_ctl32_ucEducationEditorAdd_ucYearListFromTo_ddlTo"],text,
profile.education.dates.invalid,End year must be greater than or equal to start year,L’année de fin doit être supérieure ou égale à l’année de début,#MainCopy_ctl32_ucEducationEditorAdd_ucYearListFromTo_cvFromToValues,text,
profile.education.dissertation.label,Dissertation,Mémoire/Thèse,#MainCopy_ctl32_ucEducationEditorAdd_lblDissertation,text,
profile.education.advisor.label,Advisor,Directeur de recherche,#MainCopy_ctl32_ucEducationEditorAdd_lblAdvisor,text,
profile.education.highestDegree.label,This is the highest degree attained,Ceci est le diplôme le plus élevé obtenu,label[for="MainCopy_ctl32_ucEducationEditorAdd_chkIsHighestDegree"],text,
profile.education.save,Save,Enregistrer,#MainCopy_ctl32_SaveTop,attr,value
profile.education.cancel,Cancel,Annuler,#MainCopy_ctl32_CancelTop,attr,value
profile.bio.editTitle,Edit Bio,Modifier la biographie,#MainCopy_ctl29_HtmlEditor .modal-header label,text,
profile.bio.save,Save,Enregistrer,#MainCopy_ctl29_pnlSummaryDisplay #MainCopy_ctl29_Btn_Save,attr,value
profile.bio.cancel,Cancel,Annuler,#MainCopy_ctl29_pnlSummaryDisplay #MainCopy_ctl29_lnkCancel,text,
profile.awards.editTitle,Edit Existing Honors And Awards,Modifier une distinction ou un prix,#ctl00_MainCopy_ctl35_EditItemDetails_ctl00_pnlEditHornorAndAwards .modal-header,text,
profile.awards.addTitle,Add New Honors And Awards,Ajouter une distinction ou un prix,#MainCopy_ctl35_AddItemPanel .modal-header,text,
profile.awards.award.label,Award,Distinction ou prix,#ctl00_MainCopy_ctl35_EditItemDetails_ctl00_Label1,text,
profile.awards.award.required,Please enter award,Veuillez entrer une distinction,#MainCopy_ctl35_RequiredFieldValidator1,text,
profile.awards.orgAcronym.label,Award Organization and Acronym,Organisme remettant le prix et sigle,#ctl00_MainCopy_ctl35_EditItemDetails_ctl00_Label2,text,
profile.awards.acronym.sronly,Acronym,Sigle,#MainCopy_ctl35_AcronyLabel,text,
profile.awards.years.label,Year(s),Année(s),#ctl00_MainCopy_ctl35_EditItemDetails_ctl00_Label3,text,
profile.awards.years.invalid,Enter comma separated years only,Entrez uniquement des années séparées par des virgules,#MainCopy_ctl35_AddItemPanel #MainCopy_ctl35_YearsValidatorSingle,text,
profile.awards.save,Save,Enregistrer,#ctl00_MainCopy_ctl35_EditItemDetails_ctl00_SaveBottom,attr,value
profile.awards.cancel,Cancel,Annuler,#ctl00_MainCopy_ctl35_EditItemDetails_ctl00_CancelBottom,attr,value
profile.awards.save,Save,Enregistrer,#MainCopy_ctl35_SaveTop,attr,value
profile.awards.save,Save,Enregistrer,#ctl00_MainCopy_ctl35_EditItemDetails_ctl00_SaveBottom,attr,value
profile.awards.cancel,Cancel,Annuler,#MainCopy_ctl35_CancelTop,attr,value
profile.awards.mmodal.award.label,Award,Prix,#MainCopy_ctl35_Label1,text,
profile.bio.add,Add,Ajouter,#MainCopy_ctl29_lnkInsert,text,
profile.education.add,Add,Ajouter,#ctl00_MainCopy_ctl32_EditItemDetails_ctl00_AddEducation,text,
profile.awards.add,Add,Ajouter,#ctl00_MainCopy_ctl35_EditItemDetails_ctl00_AddHonorsAndAwards,text,
profile.education.noItem,Share where and when you received your education,Indiquez où et quand vous avez suivi votre formation,#ctl00_MainCopy_ctl32_EditItemDetails_ctl00_NoItem p,text,
profile.awards.noItem,List past accolades and recognition,Énumérez vos distinctions et reconnaissances antérieures,#ctl00_MainCopy_ctl35_EditItemDetails_ctl00_NoItem p,text,
profile.awards.org.label,Award Organization and Acronym,Organisme de remise de prix et acronyme,#MainCopy_ctl35_Label2,text,
profile.awards.year.label,Year(s),Année(s),#MainCopy_ctl35_Label3,text,
profile.awards.save,Save,Enregistrer,#MainCopy_ctl35_SaveTop,attr,value
profile.name.prefix.label,Prefix,Préfixe,#MainCopy_ctl21_lblPrefix,text,
profile.name.firstName.label,First Name,Prénom,#MainCopy_ctl21_lblFirstName,text,
profile.name.lastName.label,Last Name,Nom de famille,#MainCopy_ctl21_lblLastName,text,
profile.name.suffix.label,Suffix,Suffixe,#MainCopy_ctl21_lblSuffix,text,
profile.name.designation.label,Designation,Désignation,#MainCopy_ctl21_lblDesignation,text,
profile.name.pronouns.label,Pronouns,Pronoms,#MainCopy_ctl21_lblPronouns,text,
profile.password.modalTitle,Enter Password,Entrer le mot de passe,#EnterPasswordModal .modal-title,text,
profile.password.enter.label,Enter Password,Entrer le mot de passe,#EnterPasswordModal .modal-body label[for="MainCopy_ctl10_EnterPasswordModal_Password"],text,
profile.password.confirm.label,Confirm Password,Confirmer le mot de passe,#EnterPasswordModal .modal-body label[for="MainCopy_ctl10_EnterPasswordModal_ConfirmPassword"],text,
profile.password.submit,Submit,Valider,#MainCopy_ctl10_EnterPasswordModal_SubmitEnterPasswordBtn,attr,value
profile.password.cancel,Cancel,Annuler,#MainCopy_ctl10_EnterPasswordModal_CancelEnterPasswordBtn,attr,value
profile.email.change,Change,Modifier,#MainCopy_ctl10_ChangeEmailBtn,attr,value
profile.education.city.label,City,Ville,#MainCopy_ctl32_ucEducationEditorAdd_lblCity,text,
profile.education.country.label,Country,Pays,#MainCopy_ctl32_ucEducationEditorAdd_ucCountryStateProvinceList_ddlCountry,attr,title
profile.education.state.label,State/Province,Province/Territoire,#MainCopy_ctl32_ucEducationEditorAdd_ucCountryStateProvinceList_StateProvinceRow #lblState,text,
profile.name.editTitle,Edit User Name,Modifier le nom d’utilisateur,#MainCopy_ctl21_pnlEditName .modal-title,text,
profile.name.save,Save,Enregistrer,#MainCopy_ctl21_btnSave,attr,value
profile.name.cancel,Cancel,Annuler,#MainCopy_ctl21_lnkCancel,attr,value



add_contact_btn_text,Add as Contact,Demander comme contact,button[id*="_ContactCommunications_ContactRequest"],text,
add_contact_btn_aria,Add as Contact,Demander comme contact,button[id*="_ContactCommunications_ContactRequest"],attr,aria-label
send_msg_btn_text_row,Send Message,Envoyer un message,a[id*="_ContactCommunications_SendMessageBtn"],text,
send_msg_btn_title_row,Send Message,Envoyer un message,a[id*="_ContactCommunications_SendMessageBtn"],attr,title
send_msg_btn_aria_row,Send Message,Envoyer un message,a[id*="_ContactCommunications_SendMessageBtn"],attr,aria-label
resend_small_text,Resend,Renvoyer,a[id*="_ResendRequestSmall"],text,
resend_small_title,Resend,Renvoyer,a[id*="_ResendRequestSmall"],attr,title
resend_small_aria,Resend,Renvoyer,a[id*="_ResendRequestSmall"],attr,aria-label
cancel_small_text,Cancel,Annuler,a[id*="_cancelContactRequestSmall"],text,
cancel_small_title,Cancel,Annuler,a[id*="_cancelContactRequestSmall"],attr,title
cancel_small_aria,Cancel,Annuler,a[id*="_cancelContactRequestSmall"],attr,aria-label
pending_text,Contact Request Pending,Demande de contact en attente,span[id*="_AcceptDeclineRequestTextSmall"],text,
list_send_msg_value,Send Message,Envoyer un message,input[id^="MainCopy_ctl29_FindContacts_Contacts_SendMessageButton_"],attr,value
list_send_msg_title,Send Message,Envoyer un message,input[id^="MainCopy_ctl29_FindContacts_Contacts_SendMessageButton_"],attr,title
add_contact_link_text,Request Contact,Demander comme contact,a.add-contact,text,
add_contact_link_title,Request Contact,Demander comme contact,a.add-contact,attr,title
add_contact_link_aria,Request Contact,Demander comme contact,a.add-contact,attr,aria-label
ignore_contact_text,Ignore,Ignorer,a.ignore-contact,text,
ignore_contact_title,Ignore,Ignorer,a.ignore-contact,attr,title
ignore_contact_aria,Ignore,Ignorer,a.ignore-contact,attr,aria-label
modal_header_prefix,Message to,Message à,#modal-send-message .modal-header,text,
modal_subject_label,Subject,Objet,#message-subject-label,text,
modal_body_label,Message,Message,#message-body-label,text,
modal_send_btn,Send,Envoyer,#modal-send-message #Send,text,
modal_cancel_btn,Cancel,Annuler,#modal-send-message #Cancel,text,
modal_error_text,Cannot send message. Data required.,Impossible d’envoyer le message. Données requises.,#modal-send-message #error-msg,text,
