key,en,fr,selector,type,attr
accountSettingsPrivacy.jobHistory,Job History,Historique d’emploi,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl14_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.myDocuments,My Documents,Mes documents,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl15_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.mentorStatus,MentorStatus,Statut de mentor,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl16_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.menteeStatus,MenteeStatus,Statut de mentoré,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl17_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.digitalRibbon,Digital Ribbon,Ruban numérique,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl18_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.honors,H***onors and Awards,Distinctions et prix,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl19_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.groups,Professional Groups and Associations,Groupes et associations professionnels,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl20_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.social,Social Media Sites,Sites de médias sociaux,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl21_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.vcard,vCard Download,Téléchargement de vCard,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl22_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.volunteer,Past Volunteer Experience,Expérience bénévole antérieure,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl23_ucRdBtnChildList_lblheading,text,

# Shared dropdown options (affect every .privacySettingSelect)
accountSettingsPrivacy.opt.contacts,My Contacts,Mes contacts,.privacySettingSelect option[value="1"],text,
accountSettingsPrivacy.opt.members,Members Only,Membres seulement,.privacySettingSelect option[value="2"],text,
accountSettingsPrivacy.opt.public,Public,Public,.privacySettingSelect option[value="3"],text,
accountSettingsPrivacy.opt.onlyMe,Only Me,Seulement moi,.privacySettingSelect option[value="4"],text,
accountSettingsPrivacy.opt.nobody,Nobody,Personne,.privacySettingSelect option[value="4"],text,
