key,en,fr,selector,type,attr
demo.sector.opt.municipal,Municipal government,Administration municipale,[id="d4aedf2d-a642-4b70-81dd-0199734cd5a1-select"] option[value="fa1efca8-5afa-46b9-a72c-0199734e105c"],text,
demo.sector.opt.npo,Non-profit sector,Secteur sans but lucratif,[id="d4aedf2d-a642-4b70-81dd-0199734cd5a1-select"] option[value="09988a56-6c73-4ec8-8005-0199734de470"],text,
demo.sector.opt.private,Private sector,Secteur privé,[id="d4aedf2d-a642-4b70-81dd-0199734cd5a1-select"] option[value="2c024a36-a121-470d-be13-0199734dcfd0"],text,
demo.sector.opt.provincial,Provincial government,Gouvernement provincial,[id="d4aedf2d-a642-4b70-81dd-0199734cd5a1-select"] option[value="4be70d97-01b4-44fb-a6de-0199734e01ff"],text,

demo.sector.error.mustChoose,Must choose a value,Vous devez choisir une valeur,[id="d4aedf2d-a642-4b70-81dd-0199734cd5a1-demoRow"] .error-message.invalidInputLabel,text,


# Financial Empowerment Services Offered DROPDOWN
demo.feOffered.label,Financial Empowerment Services Offered,Services d’autonomisation financière offerts,.demoType[data-demographictypekey="7ef9a3b6-0f46-4dac-b38b-0199734efe10"] .control-label,text,
# demo.feOffered.label,Financial Empowerment Services Offered,Services d’autonomisation financière offerts,label[for="7ef9a3b6-0f46-4dac-b38b-0199734efe10-demoDiv"],text,
demo.feOffered.title,(Financial Empowerment Services Offered),(Services d’autonomisation financière offerts),[id="7ef9a3b6-0f46-4dac-b38b-0199734efe10-select"],attr,title

demo.feOffered.opt.tax,"Tax-filing support (e.g. free tax clinics)","Soutien à la déclaration de revenus (p. ex. cliniques fiscales gratuites)",[id="7ef9a3b6-0f46-4dac-b38b-0199734efe10-select"] option[value="e314e9fa-f79b-4e20-88a1-0199735055d1"],text,
demo.feOffered.opt.benefits,Help accessing benefits,Aide pour accéder aux prestations,[id="7ef9a3b6-0f46-4dac-b38b-0199734efe10-select"] option[value="d3ac29bd-3b42-44db-8510-0199735064f7"],text,
demo.feOffered.opt.coaching,"One-on-one financial coaching (e.g. financial goal setting and action planning)","Encadrement financier individuel (p. ex., établissement d'objectifs financiers et planification des actions)",[id="7ef9a3b6-0f46-4dac-b38b-0199734efe10-select"] option[value="18be00b1-e86a-4c55-b5a5-0199735073ac"],text,
demo.feOffered.opt.counselling,"Financial counselling and problem solving (including debt management)","Conseils financiers et résolution de problèmes (y compris la gestion de la dette)",[id="7ef9a3b6-0f46-4dac-b38b-0199734efe10-select"] option[value="ffc0566b-cf88-4574-9ad8-0199735082c9"],text,
demo.feOffered.opt.education,Financial education,Éducation financière,[id="7ef9a3b6-0f46-4dac-b38b-0199734efe10-select"] option[value="f1bb407b-582e-4a74-8059-019973509314"],text,
demo.feOffered.opt.none,None,Aucun,[id="7ef9a3b6-0f46-4dac-b38b-0199734efe10-select"] option[value="c6872cc1-f47d-4f74-87e0-01997350a208"],text,
demo.feOffered.opt.other,Other,Autre,[id="7ef9a3b6-0f46-4dac-b38b-0199734efe10-select"] option[value="bcca9ce0-d09c-4db3-81a3-01997350bb05"],text,

demo.feOffered.error.mustChoose,Must choose a value,Vous devez choisir une valeur,[id="7ef9a3b6-0f46-4dac-b38b-0199734efe10-demoRow"] .error-message.invalidInputLabel,text,

# Other Services Offered dropdown

# demo.otherServices.label,Other Services Offered,Autres services offerts,[for$="-demoDiv"]:has(+ #172d3906-c563-42c3-bff0-0199735b5682-demoDiv),text,
# demo.otherServices.label,Other Services Offered,Autres services offerts,.demoType[data-demographictypekey="172d3906-c563-42c3-bff0-0199735e0e0d"] .control-label,text,
demo.otherServices.label,Other Services Offered,Autres services offerts,label[for="172d3906-c563-42c3-bff0-0199735b5682-demoDiv"],text,
demo.otherServices.title,(Other Services Offered),(Autres services offerts),[id="172d3906-c563-42c3-bff0-0199735b5682-select"],attr,title
demo.otherServices.placeholder.option,(Other Services Offered),(Autres services offerts),[id="172d3906-c563-42c3-bff0-0199735b5682-select"] option[value="00000000-0000-0000-0000-000000000000"],text,


demo.otherServices.title,(Other Services Offered),(Autres services offerts),[id="172d3906-c563-42c3-bff0-0199735b5682-select"],attr,title
demo.otherServices.free.placeholder,Add your own,Ajoutez le vôtre,[id="172d3906-c563-42c3-bff0-0199735b5682-freeform"],attr,placeholder
error.mustChooseOther,Must choose a value or add your own,Vous devez choisir une valeur ou ajouter la vôtre,[id="172d3906-c563-42c3-bff0-0199735b5682-demoRow"] .error-message,text,

demo.otherServices.opt.id,Access to ID,Accès à l'identifiant,[id="172d3906-c563-42c3-bff0-0199735b5682-select"] option[value="af469578-6786-4ded-912b-0199735c3666"],text,
demo.otherServices.opt.bank,Banking Access Support,Soutien pour l’accès bancaire,[id="172d3906-c563-42c3-bff0-0199735b5682-select"] option[value="80d072b1-70fd-4115-bc44-0199735c4a26"],text,
demo.otherServices.opt.budget,Budget Counselling,Conseils budgétaires,[id="172d3906-c563-42c3-bff0-0199735b5682-select"] option[value="a5af4c3a-3779-4e27-a6e2-0199735c5e61"],text,
demo.otherServices.opt.consumer,Consumer Advocacy,Représentation des consommateurs,[id="172d3906-c563-42c3-bff0-0199735b5682-select"] option[value="c36de3cd-c9b0-47d6-98f6-0199735c750b"],text,
demo.otherServices.opt.debt,Debt Management,Gestion de la dette,[id="172d3906-c563-42c3-bff0-0199735b5682-select"] option[value="fa8f286c-4f1e-4598-9abb-0199735c8b25"],text,
demo.otherServices.opt.eviction,Eviction Prevention Loan Program,Programme de prêts pour la prévention des expulsions,[id="172d3906-c563-42c3-bff0-0199735b5682-select"] option[value="96ec77f6-777f-4d24-92ee-0199735ca5c7"],text,
demo.otherServices.opt.housing,Housing or Homelessness Support,Soutien en matière de logement et d’itinérance,[id="172d3906-c563-42c3-bff0-0199735b5682-select"] option[value="c605a6f5-8365-4fd5-956d-0199735cc411"],text,
demo.otherServices.opt.income,Income Support,Soutien au revenu,[id="172d3906-c563-42c3-bff0-0199735b5682-select"] option[value="d9a2fe4c-b7d8-44c4-8e86-0199735d0a81"],text,
demo.otherServices.opt.rdsp,RDSP Info & Support,Renseignements sur le REEI et soutien,[id="172d3906-c563-42c3-bff0-0199735b5682-select"] option[value="10590803-9632-4f04-931b-0199735d2532"],text,
demo.otherServices.opt.resp,RESP Info & Support,Renseignements sur le REEE et soutien,[id="172d3906-c563-42c3-bff0-0199735b5682-select"] option[value="06f22f9a-5caa-4b4f-a78e-0199735d40f1"],text,
demo.otherServices.opt.none,None,Aucun,[id="172d3906-c563-42c3-bff0-0199735b5682-select"] option[value="08ebb735-3715-4255-9aae-0199735d5bb5"],text,
demo.otherServices.opt.other,Other,Autre,[id="172d3906-c563-42c3-bff0-0199735b5682-select"] option[value="b0c3fce6-3baa-44eb-935d-0199735d6e4c"],text,


# Populations Served DROPDOWN

demo.populations.label,Populations Served,Populations desservies,label[for="303063c6-1cd6-4d75-8e3b-0199735e0e0d-demoDiv"],text,
demo.populations.title,(Populations Served),(Populations desservies),[id="303063c6-1cd6-4d75-8e3b-0199735e0e0d-select"],attr,title
demo.populations.placeholder.option,(Populations Served),(Populations desservies),[id="303063c6-1cd6-4d75-8e3b-0199735e0e0d-select"] option[value="00000000-0000-0000-0000-000000000000"],text,
                                
demo.populations.opt.seniors,"Older people, Elders, or Seniors (65+ years old)","Personnes âgées ou aînés (autochtones) (65 ans et plus)",[id="303063c6-1cd6-4d75-8e3b-0199735e0e0d-select"] option[value="cb903b60-1ec8-4710-a44b-0199735e85a8"],text,
demo.populations.opt.youth,"Youth (15-30 years old)","Jeunes (entre 15 et 30 ans)",[id="303063c6-1cd6-4d75-8e3b-0199735e0e0d-select"] option[value="c27b3d6d-2cb4-46ad-ab71-0199735ea3fb"],text,
demo.populations.opt.racialized,"Racialized people","Personnes racialisées",[id="303063c6-1cd6-4d75-8e3b-0199735e0e0d-select"] option[value="9f14931f-d2d9-4a35-babf-0199735ed20f"],text,
demo.populations.opt.black,"Black communities","Communautés noires",[id="303063c6-1cd6-4d75-8e3b-0199735e0e0d-select"] option[value="220a99fd-e014-4833-b378-0199735ef809"],text,
demo.populations.opt.newcomers,"Newcomers, Refugees, or Non-Status people","Nouveaux arrivants, réfugiés ou Autochtones non inscrits",[id="303063c6-1cd6-4d75-8e3b-0199735e0e0d-select"] option[value="e72ec3b4-36ee-4e0a-96b0-0199735f0cdb"],text,
demo.populations.opt.fnmi,"First Nations, Métis, and Inuit","Premières Nations, Métis et Inuit",[id="303063c6-1cd6-4d75-8e3b-0199735e0e0d-select"] option[value="e4e1810a-874a-4515-98ef-0199735f201b"],text,
demo.populations.opt.disability,"Those living with disabilities","Personnes vivant avec un handicap",[id="303063c6-1cd6-4d75-8e3b-0199735e0e0d-select"] option[value="047370d1-d7c0-427d-96b3-0199735f3797"],text,
demo.populations.opt.unhoused,"Those who are unhoused","Personnes sans abri",[id="303063c6-1cd6-4d75-8e3b-0199735e0e0d-select"] option[value="f9eca94e-3e3f-426d-96f5-0199735f5056"],text,
demo.populations.opt.lowincome,"Those living on low incomes","Personnes à faible revenu",[id="303063c6-1cd6-4d75-8e3b-0199735e0e0d-select"] option[value="1a0c56e1-eb9b-440a-9c86-0199735f6364"],text,
demo.populations.opt.women,"Women","Femmes",[id="303063c6-1cd6-4d75-8e3b-0199735e0e0d-select"] option[value="a2f4e9c9-1c64-4fa0-99d8-0199735f74e5"],text,
demo.populations.opt.2slgbtqi,"2SLGBTQI+","2ELGBTQI+",[id="303063c6-1cd6-4d75-8e3b-0199735e0e0d-select"] option[value="c7d59640-f41d-4c8c-af8f-0199735f8c96"],text,
demo.populations.opt.northern,"Northern Communities","Communautés du Nord",[id="303063c6-1cd6-4d75-8e3b-0199735e0e0d-select"] option[value="8c06bef4-5bd5-4424-ac88-0199735fa346"],text,
demo.populations.opt.rural,"Rural or Remote Communities","Communautés rurales ou éloignées",[id="303063c6-1cd6-4d75-8e3b-0199735e0e0d-select"] option[value="365a0a64-0c3f-4a20-8cea-0199735fb443"],text,
demo.populations.opt.olmc,"Official language minority community","Communauté de langue officielle en situation minoritaire (CLOSM)",[id="303063c6-1cd6-4d75-8e3b-0199735e0e0d-select"] option[value="04e2729a-7587-4c0a-92eb-0199735fe914"],text,
demo.populations.opt.other,"Other","Autre",[id="303063c6-1cd6-4d75-8e3b-0199735e0e0d-select"] option[value="47206d42-7d7a-4e92-a89a-0199735ffefc"],text,


# demo.populations.opt.seniors,"Older people, Elders, or Seniors (65+ years old)","Personnes âgées ou aînés (autochtones) (65 ans et plus)",[id="303063c6-1cd6-4d75-8e3b-0199735e0e0d-select"] option[value="cb903b60-1ec8-4710-a44b-0199735e85a8"],text,
# demo.populations.opt.youth,"Youth (15-30 years old)","Jeunes (entre 15 et 30 ans)",[id="303063c6-1cd6-4d75-8e3b-0199735e0e0d-select"] option[value="c27b3d6d-2cb4-46ad-ab71-0199735ea3fb"],text,
# demo.populations.opt.racialized,"Racialized people","Personnes racialisées",[id="303063c6-1cd6-4d75-8e3b-0199735e0e0d-select"] option[value="9f14931f-d2d9-4a35-babf-0199735ed20f"],text,
# demo.populations.opt.black,"Black communities","Communautés noires",[id="303063c6-1cd6-4d75-8e3b-0199735e0e0d-select"] option[value="220a99fd-e014-4833-b378-0199735ef809"],text,
# demo.populations.opt.newcomers,"Newcomers, Refugees, or Non-Status people","Nouveaux arrivants, réfugiés ou Autochtones non inscrits",[id="303063c6-1cd6-4d75-8e3b-0199735e0e0d-select"] option[value="e72ec3b4-36ee-4e0a-96b0-0199735f0cdb"],text,
# demo.populations.opt.fnmi,"First Nations, Métis, and Inuit","Premières Nations, Métis et Inuit",[id="303063c6-1cd6-4d75-8e3b-0199735e0e0d-select"] option[value="e4e1810a-874a-4515-98ef-0199735f201b"],text,
# demo.populations.opt.disability,"Those living with disabilities","Personnes vivant avec un handicap",[id="303063c6-1cd6-4d75-8e3b-0199735e0e0d-select"] option[value="047370d1-d7c0-427d-96b3-0199735f3797"],text,
# demo.populations.opt.unhoused,"Those who are unhoused","Personnes sans abri",[id="303063c6-1cd6-4d75-8e3b-0199735e0e0d-select"] option[value="f9eca94e-3e3f-426d-96f5-0199735f5056"],text,
# demo.populations.opt.lowincome,"Those living on low incomes","Personnes à faible revenu",[id="303063c6-1cd6-4d75-8e3b-0199735e0e0d-select"] option[value="1a0c56e1-eb9b-440a-9c86-0199735f6364"],text,
# demo.populations.opt.women,"Women","Femmes",[id="303063c6-1cd6-4d75-8e3b-0199735e0e0d-select"] option[value="a2f4e9c9-1c64-4fa0-99d8-0199735f74e5"],text,
# demo.populations.opt.2slgbtqi,"2SLGBTQI+","2ELGBTQI+",[id="303063c6-1cd6-4d75-8e3b-0199735e0e0d-select"] option[value="c7d59640-f41d-4c8c-af8f-0199735f8c96"],text,
# demo.populations.opt.northern,"Northern Communities","Communautés du Nord",[id="303063c6-1cd6-4d75-8e3b-0199735e0e0d-select"] option[value="8c06bef4-5bd5-4424-ac88-0199735fa346"],text,
# demo.populations.opt.rural,"Rural or Remote Communities","Communautés rurales ou éloignées",[id="303063c6-1cd6-4d75-8e3b-0199735e0e0d-select"] option[value="365a0a64-0c3f-4a20-8cea-0199735fb443"],text,
# demo.populations.opt.olmc,"Official language minority community","Communauté de langue officielle en situation minoritaire (CLOSM)",[id="303063c6-1cd6-4d75-8e3b-0199735e0e0d-select"] option[value="04e2729a-7587-4c0a-92eb-0199735fe914"],text,
# demo.populations.opt.other,"Other","Autre",[id="303063c6-1cd6-4d75-8e3b-0199735e0e0d-select"] option[value="47206d42-7d7a-4e92-a89a-0199735ffefc"],text,

demo.populations.error.mustChoose,Must choose a value,Vous devez choisir une valeur,[id="303063c6-1cd6-4d75-8e3b-0199735e0e0d-demoRow"] .error-message.invalidInputLabel,text,


# Geographic Area(s) Served DROPDOWN

demo.geo.label,Geographic Area(s) Served,Zone(s) géographique(s) desservie(s),label[for="eb4436bb-e703-484c-afc7-0199736d34bf-demoDiv"],text,
demo.geo.title,(Geographic Area(s) Served),Zone(s) géographique(s) desservie(s),[id="eb4436bb-e703-484c-afc7-0199736d34bf-select"],attr,title
demo.geo.placeholder.option,(Geographic Area(s) Served),Zone(s) géographique(s) desservie(s),[id="eb4436bb-e703-484c-afc7-0199736d34bf-select"] option[value="00000000-0000-0000-0000-000000000000"],text,

demo.geo.opt.large,"Large urban (100,000 or more)","Grande zone urbaine (100 000 ou plus)",[id="eb4436bb-e703-484c-afc7-0199736d34bf-select"] option[value="ae3153bb-d4f2-4072-9d6a-0199736d53e7"],text,
demo.geo.opt.medium,"Medium urban (30,000 to 99,999)","Moyenne zone urbaine (30 000 à 99 999)",[id="eb4436bb-e703-484c-afc7-0199736d34bf-select"] option[value="771f9697-f556-4266-9b63-0199736d6d83"],text,
demo.geo.opt.small,"Small urban (less than 30,000)","Petite zone urbaine (moins de 30 000)",[id="eb4436bb-e703-484c-afc7-0199736d34bf-select"] option[value="fec2b918-503c-4259-b5a8-0199736d804e"],text,
demo.geo.opt.northern,Northern,Nord,[id="eb4436bb-e703-484c-afc7-0199736d34bf-select"] option[value="c870c027-e8a4-4248-b2e3-0199736d9edf"],text,
demo.geo.opt.rural,Rural,Rurale,[id="eb4436bb-e703-484c-afc7-0199736d34bf-select"] option[value="08d64be6-a05c-4530-8d1d-0199736de779"],text,


# Language Preference

# OLD VERSION demo.langpref.label,Language Preference,Préférence linguistique,label[for="820d636e-9fed-4604-869e-0199736e70b7-demoDiv"],text,
# OLD VERSION demo.langpref.title,(Language Preference),(Préférence linguistique),[id="820d636e-9fed-4604-869e-0199736e70b7-select"],attr,title
# OLD VERSION demo.langpref.placeholder.option,(Language Preference),(Préférence linguistique),[id="820d636e-9fed-4604-869e-0199736e70b7-select"] option[value="00000000-0000-0000-0000-000000000000"],text,

# 2026-02-11 - Registration langiage preference lable change
demo.langpref.label,Language you prefer us to use when communicating with you,Votre langue de communication préférée,label[for="820d636e-9fed-4604-869e-0199736e70b7-demoDiv"],text,
demo.langpref.title,(Language you prefer us to use when communicating with you),(Votre langue de communication préférée),[id="820d636e-9fed-4604-869e-0199736e70b7-select"],attr,title
demo.langpref.placeholder.option,(Language you prefer us to use when communicating with you),(Votre langue de communication préférée),[id="820d636e-9fed-4604-869e-0199736e70b7-select"] option[value="00000000-0000-0000-0000-000000000000"],text,

demo.langpref.opt.en,English,Anglais,[id="820d636e-9fed-4604-869e-0199736e70b7-select"] option[value="4dd09e3d-5e71-425b-a4fc-0199736e9b9c"],text,
demo.langpref.opt.fr,French,Français,[id="820d636e-9fed-4604-869e-0199736e70b7-select"] option[value="4245aa21-b237-4ae7-9459-0199736eaf20"],text,

demo.langpref.mustChoose,Must choose a value,Vous devez choisir une valeur,[id="820d636e-9fed-4604-869e-0199736e70b7-demoRow"] .error-message,text,

# Org Language Preference
demo.orglangpref.label,Select all language(s) that your organization offers financial empowerment services in,Sélectionnez toutes les langues dans lesquelles votre organisation offre des services d’autonomisation financière,label[for="c0dc62b2-8229-4be8-a60a-019c4d473226-demoDiv"],text,
demo.orglangpref.title,(Select all language(s) that your organization offers financial empowerment services in),(Sélectionnez toutes les langues dans lesquelles votre organisation offre des services d’autonomisation financière),[id="c0dc62b2-8229-4be8-a60a-019c4d473226-select"],attr,title
demo.orglangpref.placeholder.option,(Select all language(s) that your organization offers financial empowerment services in),(Sélectionnez toutes les langues dans lesquelles votre organisation offre des services d’autonomisation financière),[id="c0dc62b2-8229-4be8-a60a-019c4d473226-select"] option[value="00000000-0000-0000-0000-000000000000"],text,

demo.orglangpref.opt.en,English,Anglais,[id="820d636e-9fed-4604-869e-0199736e70b7-select"] option[value="6e6ca8cd-49e0-4dd2-aed4-019c4d478887"],text,
demo.orglangpref.opt.fr,French,Français,[id="820d636e-9fed-4604-869e-0199736e70b7-select"] option[value="72c573c8-94ad-4e45-9ae9-019c4d47c4ac"],text,
demo.orglangpref.opt.other,Other,Autre,[id="820d636e-9fed-4604-869e-0199736e70b7-select"] option[value="dd3e3997-9257-40ba-b6b3-019c4d47ee77"],text,

# Reason joined
demo.reasonjoin.label,"What interested you in joining Catalyst, the Prosper Canada community?","Qu’est-ce qui vous a incité à vous joindre à Catalyst, la communauté de Prosper Canada?",label[for="d90acae3-b8c8-4401-a78b-019c4d6c87ae-demoDiv"],text,


# Accessibility Requirements

demo.access.label,Accessibility Requirements,Exigences en matière d’accessibilité,label[for="7a06d47f-5e14-4704-a05e-0199736f163a-demoDiv"],text,
demo.access.free.placeholder,Add your own,Ajoutez le vôtre,[id="7a06d47f-5e14-4704-a05e-0199736f163a-freeform"],attr,placeholder

# https://community.prospercanada.org/login/hlactivationpending --Resilient Futures - Email Verification Pending

login.activation.title,Resilient Futures - Email Verification Pending,Un avenir résilient - Vérification de l’adresse électronique en cours,[id="PageTitleH1"],text,

login.activation.caption,Please enter email address registered,Veuillez entrer l’adresse courriel enregistrée,[id="MainCopy_ctl06_EmailCaption"],text,
login.activation.input.placeholder,Email address,Adresse courriel,[id="MainCopy_ctl06_txtEmailAddress"],attr,placeholder
login.activation.error.invalid,Invalid email address,Adresse e-mail invalide,[id="MainCopy_ctl06_RegularExpressionValidator2"],text,
login.activation.error.required,Please enter your email address,Veuillez entrer votre adresse e-mail,[id="MainCopy_ctl06_RequiredFieldValidator6"],text,
login.activation.submit,Send Activation Email,Envoyer l'e-mail d'activation,[id="MainCopy_ctl06_ActivationEmail"],attr,value
login.activation.sent,The activation email has been sent successfully.,Le courriel d’activation a été envoyé avec succès.,[id="MainCopy_ctl06_ErrMsg"],text,

